Feature,Importance,CumSumImportance
PAV_ThisSidePriceAt_50_100,0.0012863012,0.87218803
LS_OppSideLevelAge_4,0.0012778435,0.8734659
LSD_ThisSideTotalVolume_0_10,0.0012388756,0.8747048
PAV_OppSidePriceAt_500_1000000,0.0012321338,0.8759369
LS_ThisSideTotalVolume_1,0.0012244661,0.8771614
LORS_OppSideTimestampQuarts_2_1,0.001223199,0.8783846
LHD_ThisSideInsertedVolume_1_100000,0.0011862935,0.8795709
LORS_OppSideVolCumQuarts_0_1,0.0011844737,0.88075536
LORS_ThisSideTimestampQuarts_1_1,0.00118427,0.88193965
LHD_ThisSidePulledVolume_1_1000000,0.0011768667,0.88311654
LS_ThisSideTotalOrders_3,0.0011742989,0.8842908
LS_ThisSideNewOrderAge_1,0.0011742646,0.8854651
PAV_OppSidePriceAt_25_10000,0.0011693923,0.88663447
LORS_OppSideVolCumQuarts_1_1,0.001162222,0.8877967
LSD_OppSideTotalOrders_0_10000,0.0011563329,0.88895303
FFL_LastFlip,0.0011542159,0.8901073
LSD_ThisSideTotalVolume_1_100000,0.0011520492,0.8912593
LORS_ThisSideUniqueCnt_1,0.0011452258,0.89240456
PAV_ThisSidePriceAt_100_1000000,0.0011415089,0.89354604
PT_OppSideFurthestPrice_100000,0.0011392441,0.89468527
LS_OppSideLevelAge_2,0.0011340237,0.8958193
FFL_TotalBFlips_100,0.0011301417,0.89694947
LORS_OppSideVolInFrontOfMaxOrder_1,0.001125958,0.8980754
LHD_ThisSideInsertedVolume_1_100,0.0011258058,0.8992012
LORS_ThisSideVolCumQuarts_0_0,0.0011230039,0.9003242
LHD_ThisSideInsertedVolume_1_1000,0.0011207442,0.901445
PAV_ThisSidePriceAt_200_100,0.0010960926,0.90254104
LSD_ThisSideTotalVolume_1_1000,0.0010896168,0.9036307
LORS_ThisSideVolQuarts_0_0,0.0010869086,0.90471756
LHD_OppSidePulledVolume_0_10,0.0010778354,0.9057954
PAV_ThisSidePriceAt_10_100,0.0010727214,0.9068681
PAV_ThisSidePriceAt_50_1,0.0010670623,0.90793514
LSD_OppSideTotalOrders_1_1,0.0010647002,0.90899986
LORS_OppSideVolQuarts_0_1,0.0010602152,0.91006005
LS_OppSideTotalOrders_3,0.0010573459,0.9111174
LHD_OppSidePulledVolume_0_1,0.0010566865,0.91217405
PAV_OppSidePriceAt_100_1000000,0.0010524519,0.9132265
PT_OppSideTopTradedVolume_1,0.0010512399,0.91427773
LORS_ThisSideTimestampQuarts_3_1,0.0010458569,0.9153236
LORS_ThisSideVolQuarts_2_1,0.001039495,0.9163631
LORS_ThisSideVolInFrontOfMaxOrder_0,0.0010212164,0.9173843
PAV_ThisSidePriceAt_25_1000000,0.0010202136,0.9184045
LORS_ThisSideVolQuarts_3_1,0.0010149895,0.9194195
PAV_OppSidePriceAt_10_100,0.0009998068,0.92041934
FFL_BFratio_10000,0.0009967359,0.92141604
LS_OppSideNewOrderAge_2,0.000992566,0.9224086
LORS_OppSideVolQuarts_2_0,0.00098983,0.92339844
PAV_ThisSidePriceAt_10_10000,0.0009864819,0.9243849
PAV_OppSidePriceAt_10_1000,0.0009778454,0.92536277
FFL_LastFFlip,0.0009639682,0.92632675
LORS_ThisSideVolQuarts_0_1,0.00096083595,0.9272876
LORS_ThisSideTimestampQuarts_1_0,0.00095780415,0.92824537
LH_OppSideMaxVolumeRatio_3,0.0009572132,0.92920256
LH_ThisSideMaxVolumeRatio_3,0.0009526711,0.9301552
LORS_OppSideTimestampQuarts_1_0,0.00094817847,0.9311034
PAV_OppSidePriceAt_25_1000000,0.00094788824,0.9320513
LORS_ThisSideVolQuarts_1_0,0.00094082835,0.9329921
PAV_OppSidePriceAt_500_100,0.00093823636,0.93393034
LORS_OppSideVolQuarts_2_1,0.00093822385,0.9348686
LORS_ThisSideTimestampQuarts_2_1,0.00092653715,0.9357951
